2,3,4,5,6,7,8,9
13,12,13,12,12,12,34,13
12,12,13,13,13,14,12,12
13,13,13,13,13,12,12,13
13,12,12,12,12,13,12,13
12,13,12,12,13,12,12,13
12,12,13,13,12,13,13,12
13,13,12,12,12,12,13,12
13,13,13,13,12,13,13,12
13,12,12,12,13,13,12,12
13,13,13,13,12,12,13,12
12,12,12,12,12,13,12,12
13,13,21,12,13,12,13,13
12,13,12,12,12,12,12,12
12,12,12,12,13,13,12,12
12,12,12,12,12,12,13,13
12,12,13,13,13,12,13,13
12,13,12,13,16,13,13,12
13,12,12,12,13,12,13,13
13,13,13,12,12,13,13,12
13,13,12,13,12,12,13,12
13,12,12,13,12,12,12,12
12,13,12,13,12,13,13,13
13,13,12,13,12,12,12,13
12,12,12,13,12,12,12,12
12,12,13,12,12,12,13,13
12,16,12,11,12,14,13,12
12,12,13,13,12,13,13,12
12,13,12,12,13,12,12,13
12,12,13,13,12,13,12,12
14,13,12,12,12,13,13,12
12,12,13,13,12,12,13,12
12,13,12,13,12,12,12,13
12,13,12,12,13,12,12,13
13,14,12,12,12,13,13,12
12,12,12,13,12,12,12,12
13,12,12,13,12,12,12,13
13,13,12,12,13,12,12,12
16,13,14,13,13,13,13,12
12,13,12,12,12,13,13,12
12,12,13,12,12,12,12,12
12,12,12,13,13,14,12,12
13,13,12,12,12,13,12,12
12,12,13,13,12,13,12,12
13,12,13,12,12,12,13,14
12,25,13,12,12,12,13,13
13,13,12,13,13,13,13,13
13,13,12,12,12,13,12,12
12,12,12,12,13,12,12,13
12,12,13,13,12,13,12,13
12,12,13,12,13,12,13,12
12,12,12,12,12,13,12,12
12,12,13,12,18,12,12,13
13,13,12,12,12,12,13,12
12,12,12,13,12,12,13,12
12,12,13,12,13,13,12,12
12,13,12,13,12,13,13,12
12,12,12,27,12,12,13,12
12,13,13,12,12,12,12,12
12,13,12,12,13,12,13,12
12,13,12,13,13,15,13,12
12,13,13,12,12,13,12,12
12,12,12,12,13,12,12,12
13,12,12,13,13,13,14,12
12,12,12,12,12,13,13,12
12,12,13,13,13,12,12,13
12,12,13,12,13,12,13,12
13,13,12,12,12,12,13,12
13,12,13,13,13,12,12,13
13,12,13,12,13,12,12,12
16,13,13,12,13,12,12,13
13,12,11,12,35,12,13,13
12,12,13,12,12,13,12,13
13,13,12,12,12,12,12,13
12,12,13,12,13,12,12,13
13,12,13,12,13,12,12,12
13,12,13,13,12,13,12,12
13,12,12,13,12,13,12,11
12,12,12,12,13,12,12,12
12,12,12,12,13,13,12,12
12,12,13,13,13,12,12,12
12,12,12,13,12,12,12,13
12,12,13,13,13,13,13,12
12,12,12,12,12,12,12,12
12,12,13,14,12,12,12,12
13,12,12,13,13,12,12,13
12,12,14,12,12,12,13,12
13,12,13,13,13,13,12,12
13,12,12,13,12,12,12,12
14,13,12,12,12,12,13,12
13,12,13,13,12,13,13,12
13,13,20,13,13,13,13,12
13,12,12,12,12,12,13,12
12,12,13,13,12,12,13,13
13,12,12,13,12,13,13,13
12,12,13,12,12,12,13,13
13,12,12,12,12,12,13,13
13,13,12,12,13,12,12,13
12,12,12,21,12,12,12,13
12,12,12,12,13,13,13,13
13,13,12,12,12,12,12,13
